"","Sp","Species_name","Families","Families1","Fossil_point","Abbreviations","Shape_point","Epoch","Regression_point","Collection_number","Body_mass_g","Body_mass_mg","Brain_volume_cm3","Brain_volume_mm3","Olfactory_bulbs_mm3","Petrosal_lobules_mm3","Brain_surface_mm2","Neocortex_surface_mm2","PEQ","predicted","residuals"
"Cavia_porcellus",1,"Cavia_porcellus","Cavioidea","Other","Other","Ca_po","Other","Extant","Extant","HACB CP3",703.77,703770,5.72985,5729.85,174.112,25.91,2332.89,741.75,0.293435087114151,0.763515824755339,-0.00537257190225515
"Cavia_aperea",2,"Cavia_aperea","Cavioidea","Other","Other","Ca_ap","Other","Extant","Extant","MCN 1709",552.2,552200,4.101351351,4101.351351,144,55.4,1825,662,0.242666375282822,0.700801986825725,-0.0878750111826301
"Galea_spixii",3,"Galea_spixii","Cavioidea","Other","Other","Ga_sp","Other","Extant","Extant","PIMUZ/AV 2472",335.78,335780,3.75965251,3759.65251,149,55.5,1701,623,0.299127891201331,0.572175410800672,0.00297229583883729
"Galea_musteloides",4,"Galea_musteloides","Cavioidea","Other","Other","Ga_mu","Other","Extant","Extant","ZM 16952",396.21,396210,2.635135135,2635.135135,103,28.8,1388,489,0.189986113262248,0.614965647301499,-0.194162755692229
"Hydrochaerus_hydrochaeris",5,"Hydrochaerus_hydrochaeris","Cavioidea","Other","Other","Hy_hy","Other","Extant","Extant","OUVC 10698",51898.92,51898920,94.74694,94746.94,1990,NA,15877,6237,0.374911345349394,1.87552123167309,0.101043960976787
"Kerodon_rupestris",6,"Kerodon_rupestris","Cavioidea","Other","Other","Ke_ru","Other","Extant","Extant","PIMUZ/AV 2460",899.575,899575,6.17953668,6179.53668,117,72.9,2258,749,0.273434543173618,0.826987151135976,-0.0360312367045144
"Cuniculus_paca",7,"Cuniculus_paca","Cavioidea","Other","Other","Cu_pa","Other","Extant","Extant","UF 6607",8553.77,8553770,41.3991,41399.1,1769.71,NA,8373,2777.6,0.479221548640408,1.40933918050855,0.207651719325337
"Dolichotis_patagonum",8,"Dolichotis_patagonum","Cavioidea","Other","Other","Do_pa","Other","Extant","Extant","B 21869",8018,8018000,29.41119691,29411.19691,557,129.7,6938,2892,0.35382069451664,1.39261408699279,0.0758986118029956
"Myoprocta_acouchy",9,"Myoprocta_acouchy","Cavioidea","Other","Other","My_ac","Other","Extant","Extant","AMNH 94073",987.48,987480,12.9327,12932.7,411.829,73,3720.67,1411.96,0.541351351700566,0.851094593129943,0.260594610226048
"Dasyprocta_punctata",10,"Dasyprocta_punctata","Cavioidea","Other","Other","Da_pu","Other","Extant","Extant","AMNH 14179",3049.32,3049320,21.9964,21996.4,769.01,168.9,5374.4,1833.69,0.47054341400525,1.14263652667135,0.19971508196593
"Dasyprocta_variegata",11,"Dasyprocta_variegata","Cavioidea","Other","Other","Da_va","Other","Extant","Extant","PIMUZ 11923",4100,4100000,23.496139,23496.139,786,173.6,5878,2162,0.421395873449811,1.219190842017,0.15180566073312
"Dasyprocta_leporina",12,"Dasyprocta_leporina","Cavioidea","Other","Other","Da_le","Other","Extant","Extant","PIMUZ 19854",3980,3980000,23.96332046,23963.32046,792,138,6021,2222,0.437443154756884,1.21150998828492,0.168037007299717
