"","Sp","Species_name","Families","Families1","Fossil_point","Abbreviations","Shape_point","Epoch","Regression_point","Collection_number","Body_mass_g","Body_mass_mg","Brain_volume_cm3","Brain_volume_mm3","PEQ","predicted","residuals"
"Dolicavia_minuscula",13,"Dolicavia_minuscula","Cavioidea","Caviomorpha","Fossil","Do_mi","Do_mi","Pliocene","Fossil","MMP M-1364",534.52,534520,6.006,6006,0.471382691158306,0.635252840590446,0.143332487272516
"Neoreomys_australis",14,"Neoreomys_australis","Cavioidea","Caviomorpha","Fossil","Ne_au","Ne_au","Miocene","Fossil","PIMUZ A/V 5265",5120,5120000,13.20844,13208.44,0.307814050340129,1.16260419242688,-0.041752664698703
"Prospaniomys_priscus",27,"Prospaniomys_priscus","Octodontoidea","Caviomorpha","Fossil","Pr_pr","Pr_pr","Miocene","Fossil","MACN-PV CH1913",368.6760783,368676.0783,2.4258,2425.8,0.23245330373968,0.54856041953925,-0.163705427821932
"Incamys_bolivianus",32,"Incamys_bolivianus","Chinchilloidea","Caviomorpha","Fossil","In_bo","In_bo","Oligocene","Fossil","YPM VPPU 21945",787.1062757,787106.2757,3.93658,3936.58,0.250950058743248,0.725572917386613,-0.130453835695831
"Neoepiblema_acreensis",33,"Neoepiblema_acreensis","Chinchilloidea","Caviomorpha","Fossil","Ne_ac","Ne_ac","Miocene","Fossil","UFAC 4515",126955.3877,126955387.7,49.5388,49538.8,0.205610569765652,1.91194109318596,-0.216995610913743
"Rhynchippus_equinus",40,"Rhynchippus_equinus","Notoungulata","Notoungulata","Other","Rh_eq","Other","Oligocene","Notoungulata","MPEF-PV 695",85000,8.5e+07,82.53,82530,0.42495579274351,1.81830914601283,0.0983026990965123
"Eurygenium_latirostris",41,"Eurygenium_latirostris","Notoungulata","Notoungulata","Other","Eu_li","Other","Oligocene","Notoungulata","UNPSJB-PV 60",119000,1.19e+08,77.572,77572,0.333355831117824,1.89683798111498,-0.00713299232947362
"Cochilius_sp.",42,"Cochilius_sp.","Notoungulata","Notoungulata","Other","Co_sp","Other","Oligocene","Notoungulata","SGOPV 3774",2050,2050000,6.839,6839,0.260647566089731,0.94898005030942,-0.11398744657639
"Mendozahippus_fierensis",43,"Mendozahippus_fierensis","Notoungulata","Notoungulata","Other","Me_fi","Other","Oligocene","Notoungulata","MCNAM-PV 4004",82000,8.2e+07,59.437,59437,0.312014600389941,1.8099230192532,-0.0358661383581147
"Gualta_cuyan",44,"Gualta_cuyan","Notoungulata","Notoungulata","Other","Gu_ca","Other","Oligocene","Notoungulata","MCNAM-PV
3951",404000,4.04e+08,235.04,235040,0.523691788818279,2.18210704096817,0.189034737478007
"Cramauchenia_normalis",45,"Cramauchenia_normalis","Liptoterna","Liptoterna","Other","Cr_ni","Other","Oligocene","Liptoterna","MPEF-PV 2524",80250,80250000,111.72,111720,0.59331282860204,1.80488824386051,0.24324268316846
"Theosodon_cf_T_gracilis",46,"Theosodon_cf_T_gracilis","Liptoterna","Liptoterna","Other","Th_gi","Other","Miocene","Liptoterna","MLP 12–1123",106450,106450000,153.66,153660,0.701091386727096,1.87082724782421,0.315733581027863
"Trachytherus_spegazzinianus",47,"Trachytherus_spegazzinianus","Notoungulata","Notoungulata","Other","Tr_su","Other","Oligocene","Notoungulata","UNPSJB-PV 112",136460,136460000,60.41,60410,0.241189892931813,1.92879077719075,-0.147681941461284
"Trachytherus_alloxus",48,"Trachytherus_alloxus","Notoungulata","Notoungulata","Other","Tr_au","Other","Oligocene","Notoungulata","MNHN Bol V 6335",45280,45280000,30.89,30890,0.223118075162112,1.67132421938443,-0.181506311082975
"Eutypotherium_superans",49,"Eutypotherium_superans","Notoungulata","Notoungulata","Other","Eu_sn","Other","Miocene","Notoungulata","MACN A 11079",71900,71900000,47.36,47360,0.266813036568288,1.77924570571121,-0.103834011996351
"Plesiotypotherium_achirense",52,"Plesiotypotherium_achirense","Notoungulata","Notoungulata","Other","Pl_as","Other","Miocene","Notoungulata","MNHN.F.ACH 26",76180,76180000,72.42,72420,0.395511125434637,1.79274087259435,0.0671176478866393
