"","Sp","Species_name","Families","Families2","Abbreviations","Locomotion","Group","Collection_number","Brain","Neo","predicted","residuals"
"Cavia_porcellus",1,"Cavia_porcellus","Cavioidea","Caviidae","Ca_po","Ground-dweller","Cavioidea","HACB CP3",3.36789426150302,2.87025755498888,2.87868432617324,-0.00842677118436308
"Cavia_aperea",2,"Cavia_aperea","Cavioidea","Caviidae","Ca_ap","Ground-dweller","Cavioidea","MCN 1709",3.26126286879249,2.8208579894397,2.76562107880012,0.0552369106395814
"Galea_spixii",3,"Galea_spixii","Cavioidea","Caviidae","Ga_sp","Ground-dweller","Cavioidea","PIMUZ/AV 2472",3.23070431361257,2.79448804665917,2.73321927482995,0.0612687718292229
"Galea_musteloides",4,"Galea_musteloides","Cavioidea","Caviidae","Ga_mu","Ground-dweller","Cavioidea","ZM 16952",3.14238946611884,2.68930885912362,2.63957740075249,0.0497314583711321
"Hydrochaerus_hydrochaeris",5,"Hydrochaerus_hydrochaeris","Cavioidea","Caviidae","Hy_hy","Ground-dweller","Cavioidea","OUVC 10698",4.20076844478317,3.79497574405113,3.76179630118538,0.0331794428657552
"Kerodon_rupestris",6,"Kerodon_rupestris","Cavioidea","Caviidae","Ke_ru","Rock-dweller","Cavioidea","PIMUZ/AV 2460",3.35372393758895,2.87448181769947,2.86365926837996,0.0108225493195109
"Cuniculus_paca",7,"Cuniculus_paca","Cavioidea","Cuniculidae","Cu_pa","Ground-dweller","Cavioidea","UF 6607",3.92288109120829,3.4436697034964,3.46714717581579,-0.0234774723193905
"Dolichotis_patagonum",8,"Dolichotis_patagonum","Cavioidea","Dasyproctidae","Do_pa","Cursorial","Cavioidea","B 21869",3.84123429550604,3.46119828862249,3.38057556097468,0.0806227276478091
"Myoprocta_acouchy",9,"Myoprocta_acouchy","Cavioidea","Dasyproctidae","My_ac","Cursorial","Cavioidea","AMNH 94073",3.57062115254384,3.14982239358169,3.09363941630467,0.0561829772770217
"Dasyprocta_punctata",10,"Dasyprocta_punctata","Cavioidea","Dasyproctidae","Da_pu","Cursorial","Cavioidea","AMNH 14179",3.73032998649759,3.26332591657446,3.26298166104122,0.000344255533240023
"Dasyprocta_variegata",11,"Dasyprocta_variegata","Cavioidea","Dasyproctidae","Da_va","Cursorial","Cavioidea","PIMUZ 11923",3.76922958173659,3.33485568961729,3.30422762479939,0.0306280648178983
"Dasyprocta_leporina",12,"Dasyprocta_leporina","Cavioidea","Dasyproctidae","Da_le","Cursorial","Cavioidea","PIMUZ 19854",3.77966862720715,3.34674405460485,3.31529633871538,0.031447715889465
"Neoreomys_australis",14,"Neoreomys_australis","Cavioidea","Pan-Cavioidae","Ne_au","Fossil","Cavioidea","PIMUZ A/V 5265",3.65628606803692,3.18765888346509,3.1844715182344,0.0031873652306933
"Coendou_prehensilis",15,"Coendou_prehensilis","Erethizontoidea","Erethizontoidea","Co_pr","Arboreal","Erethizontoidea","UF 14899",3.68948999940845,3.2962833697408,3.21967826374331,0.0766051059974977
"Coendou_spinosus",16,"Coendou_spinosus","Erethizontoidea","Erethizontoidea","Co_sp","Arboreal","Erethizontoidea","MCN-M 335",3.60082266259105,3.2090107258086,3.12566263868515,0.083348087123452
"Erethizon_dorsatum",17,"Erethizon_dorsatum","Erethizontoidea","Erethizontoidea","Er_do","Arboreal","Erethizontoidea","AMNH 121895",3.75201001297877,3.37524832136883,3.28596939602984,0.0892789253389883
