"","Sp","Species_name","Families","Families1","Fossil_point","Abbreviations","Shape_point","Epoch","Regression_point","Collection_number","Body_mass_g","Body","Brain_volume_cm3","Brain_volume_mm3","OB","predicted","residuals"
"Cavia_porcellus",1,"Cavia_porcellus","Cavioidea","Other","Other","Ca_po","Other","Extant","Extant","HACB CP3",703.77,5.84743074997836,5.72985,5729.85,2.24082870422581,2.25549067127972,-0.0146619670539052
"Cavia_aperea",2,"Cavia_aperea","Cavioidea","Other","Other","Ca_ap","Other","Extant","Extant","MCN 1709",552.2,5.74209640230324,4.101351351,4101.351351,2.15836249209525,2.19302610748501,-0.0346636153897637
"Galea_spixii",3,"Galea_spixii","Cavioidea","Other","Other","Ga_sp","Other","Extant","Extant","PIMUZ/AV 2472",335.78,5.52605482477311,3.75965251,3759.65251,2.17318626841227,2.06491079467592,0.108275473736351
"Galea_musteloides",4,"Galea_musteloides","Cavioidea","Other","Other","Ga_mu","Other","Extant","Extant","ZM 16952",396.21,5.59792543256046,2.635135135,2635.135135,2.01283722470517,2.10753094910972,-0.0946937244045487
"Hydrochaerus_hydrochaeris",5,"Hydrochaerus_hydrochaeris","Cavioidea","Other","Other","Hy_hy","Other","Extant","Extant","OUVC 10698",51898.92,7.71515832041261,94.74694,94746.94,3.29885307640971,3.36307609378928,-0.0642230173795775
"Kerodon_rupestris",6,"Kerodon_rupestris","Cavioidea","Other","Other","Ke_ru","Other","Extant","Extant","PIMUZ/AV 2460",899.575,5.95403737749624,6.17953668,6179.53668,2.06818586174616,2.31870971267035,-0.250523850924186
"Cuniculus_paca",7,"Cuniculus_paca","Cavioidea","Other","Other","Cu_pa","Other","Extant","Extant","UF 6607",8553.77,6.93215756845133,41.3991,41399.1,3.24790210493896,2.89874701688611,0.349155088052846
"Dolichotis_patagonum",8,"Dolichotis_patagonum","Cavioidea","Other","Other","Do_pa","Other","Extant","Extant","B 21869",8018,6.9040660519145,29.41119691,29411.19691,2.74585519517373,2.88208840205122,-0.136233206877488
"Myoprocta_acouchy",9,"Myoprocta_acouchy","Cavioidea","Other","Other","My_ac","Other","Extant","Extant","AMNH 94073",987.48,5.99452830837182,12.9327,12932.7,2.6147169253236,2.3427213327222,0.271995592601402
"Dasyprocta_punctata",10,"Dasyprocta_punctata","Cavioidea","Other","Other","Da_pu","Other","Extant","Extant","AMNH 14179",3049.32,6.48420300224071,21.9964,21996.4,2.88593198728723,2.63310444923577,0.252827538051461
"Dasyprocta_variegata",11,"Dasyprocta_variegata","Cavioidea","Other","Other","Da_va","Other","Extant","Extant","PIMUZ 11923",4100,6.61278385671974,23.496139,23496.139,2.89542254603941,2.70935447749963,0.18606806853978
"Dasyprocta_leporina",12,"Dasyprocta_leporina","Cavioidea","Other","Other","Da_le","Other","Extant","Extant","PIMUZ 19854",3980,6.59988307207369,23.96332046,23963.32046,2.89872518158949,2.70170415352354,0.197021028065956
"Neoreomys_australis",14,"Neoreomys_australis","Cavioidea","Caviomorpha","Fossil","Ne_au","Ne_au","Miocene","Fossil","PIMUZ A/V 5265",5120,6.70926996097583,13.20844,13208.44,2.63996434864037,2.76657192411254,-0.126607575472176
"Coendou_prehensilis",15,"Coendou_prehensilis","Erethizontoidea","Other","Other","Co_pr","Other","Extant","Extant","UF 14899",4177.7,6.62093725014346,22.473,22473,2.57153298262832,2.71418954008748,-0.142656557459159
"Coendou_spinosus",16,"Coendou_spinosus","Erethizontoidea","Other","Other","Co_sp","Other","Extant","Extant","MCN-M 335",1592.5,6.20207944100739,13.83153,13831.53,2.48936777470473,2.46580170727547,0.0235660674292686
"Erethizon_dorsatum",17,"Erethizon_dorsatum","Erethizontoidea","Other","Other","Er_do","Other","Extant","Extant","AMNH 121895",7125.25,6.85280010681609,26.0027,26002.7,2.66942660278351,2.85168706603144,-0.182260463247923
"Pattonomys_semivillosus",18,"Pattonomys_semivillosus","Octodontoidea","Other","Other","Pa_se","Other","Extant","Extant","AMNH 96763",282.36,5.45080317322365,5.62519,5625.19,2.34833991679343,2.020285639704,0.328054277089427
"Mesomys_hispidus",19,"Mesomys_hispidus","Octodontoidea","Other","Other","Me_hi","Other","Extant","Extant","AMNH 80434",180,5.25527250510331,2.89773,2897.73,2.07107892459385,1.90433354846122,0.166745376132625
"Hoplomys_gymnurus",20,"Hoplomys_gymnurus","Octodontoidea","Other","Other","Ho_gy","Other","Extant","Extant","AMNH 29548",297.11,5.47291726934568,4.92885,4928.85,2.41395155486065,2.03339957071003,0.380551984150617
