"","Sp","Species_name","Families","Families1","Fossil_point","Abbreviations","Shape_point","Epoch","Regression_point","Collection_number","Body_mass_g","Body_mass_mg","Brain_volume_cm3","Brain","OB","predicted","residuals"
"Cavia_porcellus",1,"Cavia_porcellus","Cavioidea","Other","Other","Ca_po","Other","Extant","Extant","HACB CP3",703.77,703770,5.72985,3.75814325285308,2.24082870422581,2.19203959793721,0.0487891062886052
"Cavia_aperea",2,"Cavia_aperea","Cavioidea","Other","Other","Ca_ap","Other","Extant","Extant","MCN 1709",552.2,552200,4.101351351,3.6129269756431,2.15836249209525,2.05233855041921,0.106023941676042
"Galea_spixii",3,"Galea_spixii","Cavioidea","Other","Other","Ga_sp","Other","Extant","Extant","PIMUZ/AV 2472",335.78,335780,3.75965251,3.57514770663951,2.17318626841227,2.01599411606469,0.157192152347579
"Galea_musteloides",4,"Galea_musteloides","Cavioidea","Other","Other","Ga_mu","Other","Extant","Extant","ZM 16952",396.21,396210,2.635135135,3.42080289160927,2.01283722470517,1.86751122728001,0.145325997425157
"Hydrochaerus_hydrochaeris",5,"Hydrochaerus_hydrochaeris","Cavioidea","Other","Other","Hy_hy","Other","Extant","Extant","OUVC 10698",51898.92,51898920,94.74694,4.97656519264988,3.29885307640971,3.36418658158688,-0.0653335051771684
"Kerodon_rupestris",6,"Kerodon_rupestris","Cavioidea","Other","Other","Ke_ru","Other","Extant","Extant","PIMUZ/AV 2460",899.575,899575,6.17953668,3.79095591443146,2.06818586174616,2.22360605372593,-0.155420191979772
"Cuniculus_paca",7,"Cuniculus_paca","Cavioidea","Other","Other","Cu_pa","Other","Extant","Extant","UF 6607",8553.77,8553770,41.3991,4.61699089983389,3.24790210493896,3.01826871113838,0.229633393800575
"Dolichotis_patagonum",8,"Dolichotis_patagonum","Cavioidea","Other","Other","Do_pa","Other","Extant","Extant","B 21869",8018,8018000,29.41119691,4.46851269879579,2.74585519517373,2.87542962576081,-0.129574430587084
"Myoprocta_acouchy",9,"Myoprocta_acouchy","Cavioidea","Other","Other","My_ac","Other","Extant","Extant","AMNH 94073",987.48,987480,12.9327,4.11168920335599,2.6147169253236,2.53215807900514,0.0825588463184572
"Dasyprocta_punctata",10,"Dasyprocta_punctata","Cavioidea","Other","Other","Da_pu","Other","Extant","Extant","AMNH 14179",3049.32,3049320,21.9964,4.34235160863728,2.88593198728723,2.75406006038028,0.131871926906951
"Dasyprocta_variegata",11,"Dasyprocta_variegata","Cavioidea","Other","Other","Da_va","Other","Extant","Extant","PIMUZ 11923",4100,4100000,23.496139,4.37099650275012,2.89542254603941,2.78161703808615,0.113805507953254
"Dasyprocta_leporina",12,"Dasyprocta_leporina","Cavioidea","Other","Other","Da_le","Other","Extant","Extant","PIMUZ 19854",3980,3980000,23.96332046,4.37954699558463,2.89872518158949,2.78984278817923,0.108882393410262
"Neoreomys_australis",14,"Neoreomys_australis","Cavioidea","Caviomorpha","Fossil","Ne_au","Ne_au","Miocene","Fossil","PIMUZ A/V 5265",5120,5120000,13.20844,4.12085152772818,2.63996434864037,2.54097242363019,0.0989919250101803
"Coendou_prehensilis",15,"Coendou_prehensilis","Erethizontoidea","Other","Other","Co_pr","Other","Extant","Extant","UF 14899",4177.7,4177700,22.473,4.35166105179067,2.57153298262832,2.76301593630084,-0.191482953672515
"Coendou_spinosus",16,"Coendou_spinosus","Erethizontoidea","Other","Other","Co_sp","Other","Extant","Extant","MCN-M 335",1592.5,1592500,13.83153,4.14087022304533,2.48936777470473,2.56023082055015,-0.0708630458454165
"Erethizon_dorsatum",17,"Erethizon_dorsatum","Erethizontoidea","Other","Other","Er_do","Other","Extant","Extant","AMNH 121895",7125.25,7125250,26.0027,4.41501844544084,2.66942660278351,2.82396705301442,-0.154540450230911
"Pattonomys_semivillosus",18,"Pattonomys_semivillosus","Octodontoidea","Other","Other","Pa_se","Other","Extant","Extant","AMNH 96763",282.36,282360,5.62519,3.75013719603815,2.34833991679343,2.18433760650055,0.164002310292879
"Mesomys_hispidus",19,"Mesomys_hispidus","Octodontoidea","Other","Other","Me_hi","Other","Extant","Extant","AMNH 80434",180,180000,2.89773,3.46205791703134,2.07107892459385,1.90719941084714,0.163879513746705
"Hoplomys_gymnurus",20,"Hoplomys_gymnurus","Octodontoidea","Other","Other","Ho_gy","Other","Extant","Extant","AMNH 29548",297.11,297110,4.92885,3.69274560144473,2.41395155486065,2.12912571126765,0.284825843592996
"Phyllomys_dasythrix",21,"Phyllomys_dasythrix","Octodontoidea","Other","Other","Ph_da","Other","Extant","Extant","MCN-M 391",256.67,256670,2.57377,3.41056973441225,1.87806198129001,1.8576667194376,0.0203952618524106
"Myocastor_coypus",22,"Myocastor_coypus","Octodontoidea","Other","Other","My_co","Other","Extant","Extant","AMNH 93320",5654.84,5654840,17.8861,4.25251565453473,2.72793633404924,2.66763602352967,0.0603003105195712
"Octodon_degus",23,"Octodon_degus","Octodontoidea","Other","Other","Oc_de","Other","Extant","Extant","AMNH 242477",212.57,212570,2.13545,3.32948940719421,1.89755616905908,1.77966577585823,0.117890393200848
"Spalacopus_cyaneus",24,"Spalacopus_cyaneus","Octodontoidea","Other","Other","Sp_cy","Other","Extant","Extant","AMNH 33277",118.4,118400,1.66501,3.22141684620977,1.79533907081799,1.67569774784133,0.119641322976662
"Capromys_pilorides",25,"Capromys_pilorides","Octodontoidea","Other","Other","Ca_pi","Other","Extant","Extant","UMZC E.3371",5263,5263000,13.7319,4.13773063209668,2.60172545576417,2.55721046943848,0.0445149863256895
"Ctenomys_pearsoni",26,"Ctenomys_pearsoni","Octodontoidea","Other","Other","Ct_pe","Other","Extant","Extant","AMNH 206517",224.96,224960,2.42158,3.38409882109457,1.81322526848955,1.83220115600155,-0.0189758875120052
"Prospaniomys_priscus",27,"Prospaniomys_priscus","Octodontoidea","Caviomorpha","Fossil","Pr_pr","Pr_pr","Miocene","Fossil","MACN-PV CH1913",368.6760783,368676.0783,2.4258,3.38485499171732,1.80345711564841,1.83292860770414,-0.029471492055726
"Lagostomus_maximus",28,"Lagostomus_maximus","Chinchilloidea","Other","Other","La_ma","Other","Extant","Extant","AMNH 41523",4859.68,4859680,13.3266,4.12471936249831,2.54708026353914,2.54469336028685,0.00238690325229562
"Chinchilla_lanigera",29,"Chinchilla_lanigera","Chinchilloidea","Other","Other","Ch_la","Other","Extant","Extant","AMNH 180038",442.7,442700,5.60295,3.74841674689716,2.08706409791904,2.18268249901663,-0.095618401097584
"Lagidium_peruanum",30,"Lagidium_peruanum","Chinchilloidea","Other","Other","La_pe","Other","Extant","Extant","1043",1240,1240000,12.6183,4.10100084854118,2.46107813521686,2.52187566168553,-0.0607975264686766
"Dinomys_branickii",31,"Dinomys_branickii","Chinchilloidea","Other","Other","Di_br","Other","Extant","Extant","MCN-D 072",12625,12625000,42.7852,4.63129356644553,3.03091531062505,3.03202817079632,-0.0011128601712711
"Incamys_bolivianus",32,"Incamys_bolivianus","Chinchilloidea","Caviomorpha","Fossil","In_bo","In_bo","Oligocene","Fossil","YPM VPPU 21945",787.1062757,787106.2757,3.93658,3.59511908169078,2.23935955028959,2.03520698991494,0.204152560374653
"Ischyromys_typus",34,"Ischyromys_typus","Ischyromyidae_Sciuroidea","Other","Other","Is_ty","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","AMNH F: AM 144639; AMNH 12252; ROMV 1007",1199.076667,1199076.667,6.263176667,3.7967946621278,2.3206087332042,2.22922304918294,0.0913856840212572
"Mesogaulus_paniensis",35,"Mesogaulus_paniensis","Ischyromyidae_Sciuroidea","Other","Other","Me_pa","Other","Ischyromyidae_Sciuroidea","Ischyromyidae_Sciuroidea","AMNH F:AM 65511",266.48,266480,3.46799,3.54007783651147,2.05685151365123,1.98225617919332,0.0745953344579071
