"","Sp","Species_name","Families","Families1","Fossil_point","Abbreviations","Shape_point","Epoch","Regression_point","Collection_number","Body_mass_g","Body_mass_mg","Brain_volume_cm3","Brain","OB","predicted","residuals"
"Neoreomys_australis",14,"Neoreomys_australis","Cavioidea","Caviomorpha","Fossil","Ne_au","Ne_au","Miocene","Fossil","PIMUZ A/V 5265",5120,5120000,13.20844,4.12085152772818,2.63996434864037,2.55207384742939,0.0878905012109756
"Prospaniomys_priscus",27,"Prospaniomys_priscus","Octodontoidea","Caviomorpha","Fossil","Pr_pr","Pr_pr","Miocene","Fossil","MACN-PV CH1913",368.6760783,368676.0783,2.4258,3.38485499171732,1.80345711564841,1.56391814492743,0.239538970720982
"Incamys_bolivianus",32,"Incamys_bolivianus","Chinchilloidea","Caviomorpha","Fossil","In_bo","In_bo","Oligocene","Fossil","YPM VPPU 21945",787.1062757,787106.2757,3.93658,3.59511908169078,2.23935955028959,1.84622064143755,0.393138908852043
"Cochilius_sp.",42,"Cochilius_sp.","Notoungulata","Notoungulata","Other","Co_sp","Other","Oligocene","Notoungulata","SGOPV 3774",2050,2050000,6.839,3.83499260373303,2.46538285144842,2.16827703312929,0.297105818319132
"Mendozahippus_fierensis",43,"Mendozahippus_fierensis","Notoungulata","Notoungulata","Other","Me_fi","Other","Oligocene","Notoungulata","MCNAM-PV 4004",82000,8.2e+07,59.437,4.77405688089509,3.67430988894148,3.42907334818134,0.245236540760142
"Trachytherus_spegazzinianus",47,"Trachytherus_spegazzinianus","Notoungulata","Notoungulata","Other","Tr_su","Other","Oligocene","Notoungulata","UNPSJB-PV 112",136460,136460000,60.41,4.78110883572947,3.47129171105894,3.43854136744831,0.0327503436106267
"Pseudoplohophorus_absolutus",54,"Pseudoplohophorus_absolutus","Xenarthra","Xenarthra","Other","Ps_ab","Other","Miocene","Cingulata Xenarthra","FCDPV
595",209000,2.09e+08,100.98,5.00423536635947,3.76011022203196,3.73811309480527,0.021997127226685
"Chilecebus_carrascoensis",55,"Chilecebus_carrascoensis","Primates","Primates","Other","Ch_ci","Other","Miocene","stem Platyrrhini","SGOPV 3213",583,583000,7.96,3.90091306773767,1,2.25678245296566,-1.25678245296566
"Glyptodon sp. 15152",56,"Glyptodon_sp._15152","Xenarthra","Xenarthra","Other","Gl_sp_15152","Other","Pleistocene","Cingulata Xenarthra","MACN-Pv 15152",2012000,2.012e+09,234.12,5.36943851544214,4.23867023517312,4.2284381937435,0.0102320414296173
"Glyptodon sp. 11-04",57,"Glyptodon_sp._11-04","Xenarthra","Xenarthra","Other","Gl_sp_11-04","Other","Pleistocene","Cingulata Xenarthra","MPAC 11-04",946000,9.46e+08,213.38,5.32915371079282,4.01039494816841,4.17435144538166,-0.163956497213255
"Panochthus tuberculatus",59,"Panochthus_tuberculatus","Xenarthra","Xenarthra","Other","Pa_tu","Other","Pleistocene","Cingulata Xenarthra","-",1453000,1.453e+09,212.61,5.32758368748118,4.31435542174742,4.17224351767745,0.142111904069971
"Doedicurus clavicaudatus",60,"Doedicurus_clavicaudatus","Xenarthra","Xenarthra","Other","Do_cl","Other","Pleistocene","Cingulata Xenarthra","-",1229000,1.229e+09,233.81,5.36886308189829,4.29314236796018,4.22766561138755,0.065476756572628
"Pampatherium humboldtii",62,"Pampatherium_humboldtii","Xenarthra","Xenarthra","Other","Pa_hu","Other","Pleistocene","Cingulata Xenarthra","MHD-P-28",209500,209500000,133,5.12385164096709,4.02694162795903,3.8987110026517,0.128230625307334
"Mesotherium maendrum_2925",63,"Mesotherium_maendrum_2925","Notoungulata","Notoungulata","Other","Me_ma_2925","Other","Pliocene","Notoungulata","MACN Pv 2925",194820,194820000,93.25,4.96964884048073,3.44870631990508,3.69167690780628,-0.242970587901202
